epoch,loss,loss_data,loss_res,loss_test,loss_reg
0,0.7188368031492842,0.7093873432734701,0.009449459875814152,0.674547364758983,0.0
100,0.2699798337655803,0.2677738324108217,0.0022060013547586456,0.2601794298610368,0.0
200,0.2338889540944049,0.22751729630163528,0.006371657792769636,0.23896253345416063,0.0
300,0.21249505678911962,0.20219746969355565,0.010297587095563977,0.22064087180277872,0.0
400,0.1995059095787434,0.18813371541152077,0.011372194167222634,0.2133069023053492,0.0
500,0.19208169377556775,0.1789251193869355,0.013156574388632242,0.20743678627694312,0.0
600,0.18662676943513076,0.17223306730914925,0.014393702125981523,0.20291391079157242,0.0
700,0.1812097269083899,0.16605821301229678,0.015151513896093115,0.19460695099082123,0.0
800,0.17221531790758984,0.155926346545007,0.016288971362582845,0.18815309671083127,0.0
900,0.1701813961212589,0.15195132179851956,0.01823007432273936,0.1849309734941713,0.0
1000,0.16212754734066465,0.1440920168223289,0.018035530518335743,0.1824293726043146,0.0
1100,0.15963536425284267,0.14095931867720185,0.018676045575640822,0.18451777987065468,0.0
1200,0.15416942419005986,0.1343228559406815,0.01984656824937836,0.18494363821392995,0.0
1300,0.15014592462004092,0.1311096405292746,0.019036284090766322,0.18505938226637508,0.0
1400,0.14668586120988292,0.12615776594590958,0.020528095263973346,0.18520857225044665,0.0
1500,0.144495697891855,0.12252843393103707,0.02196726396081793,0.18607016133871299,0.0
1600,0.14704828422666755,0.12199074693907878,0.025057537287588763,0.19063914217273958,0.0
1700,0.1405158085070742,0.1202084737549926,0.020307334752081605,0.19286123183272547,0.0
1800,0.13276959490350146,0.11240283592301903,0.02036675898048242,0.19380271886542275,0.0
1900,0.14188327646170992,0.12163214016498392,0.020251136296726004,0.1999200106803332,0.0
2000,0.12886959070072274,0.10793303904079782,0.02093655165992491,0.1986108276516643,0.0
2100,0.12901837790842174,0.10899510005323837,0.020023277855183378,0.20033055181278234,0.0
2200,0.12475104841730457,0.10313953066989932,0.021611517747405246,0.20052784313292638,0.0
2300,0.12466262436659992,0.1016625603937953,0.023000063972804612,0.20380861006853387,0.0
2400,0.12523097883470802,0.10154532930285075,0.023685649531857263,0.20783597933052061,0.0
2500,0.11840176453364006,0.09652522017530277,0.02187654435833729,0.20774099400773843,0.0
2600,0.11373611377519963,0.09278048355793013,0.020955630217269497,0.2110956418246233,0.0
2700,0.1183681972261214,0.09638319399757811,0.021985003228543284,0.2181448332545369,0.0
2800,0.11373597687632864,0.09061685652777614,0.023119120348552496,0.21822779842690937,0.0
2900,0.11279890153456289,0.09129563762611177,0.021503263908451115,0.22051410848793307,0.0
3000,0.11788477644327615,0.09119102817231824,0.026693748270957916,0.21850149415861123,0.0
3100,0.1058785934990245,0.08544105852655515,0.02043753497246935,0.22464663436741503,0.0
3200,0.10788926440378893,0.08533816541560907,0.022551098988179863,0.22553819395865027,0.0
3300,0.10262050968736428,0.07994046602045637,0.0226800436669079,0.22909886615704877,0.0
3400,0.10318886864801584,0.08080965885256516,0.022379209795450675,0.23466164780991497,0.0
3500,0.10011440498882797,0.07686543236888228,0.02324897261994568,0.23880024953024004,0.0
3600,0.09385025253507832,0.07299880912865467,0.020851443406423656,0.23976961329853105,0.0
3700,0.09616276786786669,0.07264395119557845,0.023518816672288237,0.24350060614530228,0.0
3800,0.09018029459680668,0.07095109674226893,0.019229197854537753,0.2455126735769344,0.0
3900,0.09186254479158881,0.0710364610755759,0.020826083716012918,0.249575873759632,0.0
4000,0.10221611240108122,0.07917042342218833,0.02304568897889289,0.25555695285495483,0.0
