epoch,loss,loss_data,loss_res,loss_test,loss_reg
0,1.025941255960672,0.8965984350275186,0.006716340542672624,0.8678450415611282,0.12262648039048077
100,0.1739894379460906,0.06331588642657902,0.00788739932724276,0.07395817577320353,0.1027861521922688
200,0.09612296906904277,0.006723968552595993,0.003966213257685785,0.009624971849154496,0.085432787258761
300,0.07758174487346574,0.002926576066559785,0.002087090799237379,0.0054229103149958215,0.07256807800766857
400,0.06689750166442497,0.0024740258198085114,0.0020294291581330393,0.004651302292934163,0.06239404668648342
500,0.05644772822814321,0.0011774923188715082,0.0010962697234335778,0.003157276977946036,0.05417396618583812
600,0.050700238789529645,0.001659785008771272,0.0017355528934107174,0.003240806981743125,0.04730490088734766
700,0.04317108798892357,0.000820831745365981,0.0008064911452494921,0.0024434064677754893,0.0415437650983081
800,0.038179966648844835,0.0007947712686485584,0.0007546821767247235,0.002269337151795064,0.036630513203471556
900,0.0338174019732547,0.0006498663206485471,0.0007254736111423066,0.0020300286715314777,0.03244206204146385
1000,0.029888114816657527,0.0005711824577300572,0.0005210591504765639,0.0018965817246832128,0.028795873208450905
1100,0.027338150664412725,0.0008084037057230109,0.0008811596323113276,0.002073854656131578,0.025648587326378387
1200,0.023958059174450104,0.0005577969826636355,0.0004957278349204663,0.0019584157947194116,0.022904534356866003
1300,0.022632309841309168,0.0011955503564322427,0.000951557330385626,0.0027372428041738937,0.0204852021544913
1400,0.019243466587442443,0.000483420572773135,0.0004070076872212018,0.0019098572682590806,0.018353038327448105
1500,0.017683650163190703,0.0006518512767097563,0.0005508667087173713,0.0018560558184361744,0.016480932177763575
1600,0.015541386381810216,0.0003812218113746935,0.00035424264867799207,0.0017073647449968377,0.014805921921757531
1700,0.013932318725219413,0.0003273649560332859,0.0002909638225391981,0.00165770922573632,0.01331398994664693
1800,0.012711597940970583,0.00037778241288778457,0.000344418349171759,0.00175770584755724,0.01198939717891104
1900,0.011458019285174901,0.00034892696648137204,0.00030945591488785226,0.0017525592886502293,0.010799636403805676
2000,0.010387694591710326,0.0003493424802669047,0.0002945124667691092,0.00171784387829393,0.009743839644674313
2100,0.00943313237238395,0.0003427471344702624,0.00029606927979330055,0.0016830859899501032,0.008794315958120387
2200,0.008425348365688149,0.000252104814260353,0.00022986765972053227,0.0016461394371918329,0.007943375891707264
2300,0.007816471620151533,0.00032688924125054067,0.0003017228210285149,0.0017332191553453555,0.007187859557872477
2400,0.007860204823546551,0.0006774337029587421,0.0006728409100634542,0.0020725599946353943,0.0065099302105243555
2500,0.006524953015030534,0.00032829057688975327,0.0002919668067480475,0.0017341324426745617,0.005904695631392734
2600,0.005770932890213563,0.00021422845052784583,0.0001917984933837482,0.0015966021374214706,0.005364905946301969
2700,0.006496096726209764,0.0009840100139524041,0.0006284453066173215,0.002116275962585467,0.004883641405640038
2800,0.005192722022565242,0.00034889640580886987,0.0003963811692594219,0.001690118628958217,0.00444744444749695
2900,0.004629530454911859,0.00031019917244386137,0.00025782352303324043,0.001674534403627084,0.004061507759434757
3000,0.004405829460879711,0.00040289188045799156,0.0002889135636077528,0.0017619056841625053,0.003714024016813967
3100,0.003961888566551671,0.0003045137554350786,0.00025437587270773343,0.0016621166479484915,0.0034029989384088593
3200,0.003632020960068443,0.0002649256099365157,0.00024331392616398987,0.0015410881129860965,0.003123781423967937
3300,0.0034658969516112594,0.0003308895643210962,0.0002613114607767748,0.0016205520953937042,0.0028736959265133885
3400,0.0033712475488718633,0.00042070253513204427,0.00030363376905563323,0.001815176045186244,0.0026469112446841857
3500,0.002924755732159486,0.0002483070729195105,0.00023294903557272313,0.0014883612094174937,0.0024434996236672524
3600,0.0025973053115398207,0.00018155900167560646,0.00015754351881064845,0.0014034081781029268,0.002258202791053566
3700,0.002375937239907737,0.000152802123698147,0.00013176030838399325,0.0013771333959836838,0.002091374807825597
3800,0.0029828019674174406,0.0005333439396094525,0.0005100595717424379,0.0016735438411648528,0.0019393984560655505
3900,0.002259127013432241,0.0002520875438998274,0.0002060868003187406,0.001457497704826506,0.0018009526692136732
4000,0.002118171793259401,0.00022744192198349762,0.00021572657740396485,0.0014209205157221024,0.001675003293871939
